Week,Austin,Sam,Logan,Dom,Owen,Jakeb,Gus,TCoop,Batches,Addi,Beans,Carson
Week 1,Carson,Beans,Addi,Batches,TCoop,Gus,Jakeb,Owen,Dom,Logan,Sam,Austin
Week 2,Beans,Batches,TCoop,Gus,Jakeb,Owen,Dom,Logan,Sam,Carson,Austin,Addi
Week 3,Addi,Gus,Jakeb,Owen,Dom,Logan,Sam,Carson,Beans,Austin,Batches,TCoop
Week 4,Batches,Owen,Dom,Logan,Sam,Carson,Beans,Addi,Austin,TCoop,Gus,Jakeb
Week 5,TCoop,Logan,Sam,Carson,Beans,Addi,Batches,Austin,Gus,Jakeb,Owen,Dom
Week 6,Gus,Carson,Beans,Addi,Batches,TCoop,Austin,Jakeb,Owen,Dom,Logan,Sam
Week 7,Jakeb,Addi,Batches,TCoop,Gus,Austin,Owen,Dom,Logan,Sam,Carson,Beans
Week 8,Owen,TCoop,Gus,Jakeb,Austin,Dom,Logan,Sam,Carson,Beans,Addi,Batches
Week 9,Dom,Jakeb,Owen,Austin,Logan,Sam,Carson,Beans,Addi,Batches,TCoop,Gus
Week 10,Logan,Dom,Austin,Sam,Carson,Beans,Addi,Batches,TCoop,Gus,Jakeb,Owen
Week 11,Sam,Austin,Carson,Beans,Addi,Batches,TCoop,Gus,Jakeb,Owen,Dom,Logan
Week 12,Logan,Dom,Austin,Sam,Gus,TCoop,Owen,Jakeb,Beans,Carson,Batches,Addi
Week 13,Owen,Addi,Batches,Jakeb,Austin,Dom,Beans,Carson,Logan,Sam,Gus,TCoop
Week 14,Batches,Owen,Gus,TCoop,Sam,Addi,Logan,Dom,Austin,Jakeb,Carson,Beans
